"","family_index","family_size"
"1",1,2
"2",2,3
"3",3,2
"4",4,4
"5",5,2
"6",6,3
"7",7,2
"8",8,3
"9",9,3
"10",10,3
"11",11,5
"12",12,2
"13",13,3
"14",14,4
"15",16,2
"16",17,2
"17",18,2
"18",19,2
"19",21,2
"20",22,2
"21",25,2
"22",26,2
"23",27,2
"24",28,2
"25",29,2
"26",30,2
"27",31,2
"28",32,2
"29",33,2
"30",34,2
"31",36,2
"32",37,4
"33",38,3
"34",39,3
"35",40,4
"36",41,2
"37",42,2
"38",43,3
"39",44,4
"40",45,2
"41",46,4
"42",47,4
"43",48,2
"44",49,2
"45",50,2
"46",51,2
"47",52,2
"48",53,2
"49",54,2
"50",56,2
"51",57,3
"52",58,2
"53",59,6
"54",61,2
"55",62,4
"56",63,8
"57",64,5
"58",66,2
"59",68,3
"60",69,2
"61",70,2
"62",71,8
"63",75,6
"64",76,2
"65",79,3
"66",80,2
"67",82,2
"68",83,4
"69",84,4
"70",85,2
"71",86,2
"72",87,3
"73",88,13
"74",89,2
"75",91,2
"76",93,2
"77",94,2
"78",95,4
"79",96,2
"80",97,2
"81",98,3
"82",99,4
"83",100,2
"84",101,2
"85",102,2
"86",103,3
"87",104,4
"88",105,3
"89",106,2
"90",107,2
"91",108,2
"92",109,3
"93",110,2
"94",111,2
"95",112,2
"96",113,2
"97",114,2
"98",115,3
"99",116,2
"100",117,5
"101",118,3
"102",119,2
"103",120,2
"104",121,2
"105",122,2
"106",123,3
"107",124,3
"108",125,5
"109",126,2
"110",127,2
"111",128,4
"112",129,5
"113",130,4
"114",131,2
"115",132,2
"116",133,3
"117",134,2
"118",135,2
"119",136,3
"120",137,2
"121",138,4
"122",139,2
"123",140,3
"124",141,3
"125",142,2
"126",143,4
"127",144,2
"128",145,2
"129",146,2
"130",147,2
"131",148,2
"132",149,2
"133",150,4
"134",151,2
"135",152,4
"136",153,2
"137",154,2
"138",155,2
"139",156,2
"140",157,4
"141",159,4
"142",160,2
"143",161,2
"144",162,2
"145",163,2
"146",164,3
"147",165,3
"148",166,3
"149",167,4
"150",168,5
"151",169,5
"152",171,2
"153",172,2
"154",173,2
"155",174,2
"156",175,2
"157",176,3
"158",177,3
"159",178,2
"160",179,2
"161",180,2
"162",181,2
"163",182,2
"164",183,3
"165",184,3
"166",185,4
"167",186,2
"168",187,2
"169",188,2
"170",189,2
"171",190,9
"172",191,2
"173",192,2
"174",193,2
"175",194,2
"176",195,2
"177",196,3
"178",197,2
"179",198,2
"180",200,54
"181",202,2
"182",203,2
"183",204,3
"184",205,2
"185",206,5
"186",207,2
"187",208,3
"188",209,9
"189",210,2
"190",211,2
"191",212,3
"192",213,3
"193",214,3
"194",215,2
"195",216,2
"196",217,3
"197",218,4
"198",300,2
"199",301,2
"200",302,3
"201",303,2
"202",304,2
"203",306,2
"204",310,2
"205",311,2
"206",312,2
"207",313,3
"208",314,6
"209",315,2
"210",316,2
"211",317,2
"212",318,2
"213",319,2
"214",320,2
"215",321,2
"216",322,3
"217",323,2
"218",324,2
"219",325,2
"220",326,2
"221",327,2
"222",328,2
"223",329,2
"224",330,4
"225",331,3
"226",332,2
"227",333,2
"228",334,2
"229",335,2
"230",336,2
"231",337,2
"232",338,2
"233",339,2
