"","onset_date","count"
"1",2020-01-08,2
"2",2020-01-09,2
"3",2020-01-10,3
"4",2020-01-11,1
"5",2020-01-12,4
"6",2020-01-13,3
"7",2020-01-14,5
"8",2020-01-15,14
"9",2020-01-16,14
"10",2020-01-17,22
"11",2020-01-18,12
"12",2020-01-19,31
"13",2020-01-20,35
"14",2020-01-21,28
"15",2020-01-22,30
"16",2020-01-23,33
"17",2020-01-24,35
"18",2020-01-25,31
"19",2020-01-26,32
"20",2020-01-27,31
"21",2020-01-28,11
"22",2020-01-29,15
"23",2020-01-30,7
"24",2020-01-31,10
"25",2020-02-01,4
"26",2020-02-02,10
"27",2020-02-03,4
"28",2020-02-04,4
"29",2020-02-05,1
"30",2020-02-06,3
"31",2020-02-07,3
"32",2020-02-08,0
"33",2020-02-09,2
"34",2020-02-10,0
"35",2020-02-11,0
"36",2020-02-12,2
"37",2020-02-13,0
"38",2020-02-14,0
"39",2020-02-15,0
"40",2020-02-16,0
"41",2020-02-17,0
"42",2020-02-18,0
"43",2020-02-19,1
"44",2020-02-20,0
"45",2020-02-21,0
"46",2020-02-22,0
"47",2020-02-23,0
